tm,DVm,PVm
6.900000000000000000e+01,1.000000000000000000e+00,4.574999999999995737e-02
7.000000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
7.100000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.200000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.300000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.400000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.500000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
7.600000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.700000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.800000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
7.900000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
8.000000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
8.100000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
8.200000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
8.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000278e-02
8.400000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
8.500000000000000000e+01,1.000000000000000000e+00,5.474999999999994454e-02
8.600000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
8.700000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
8.800000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
8.900000000000000000e+01,1.000000000000000000e+00,5.875000000000003830e-02
9.000000000000000000e+01,1.000000000000000000e+00,5.800000000000000988e-02
9.100000000000000000e+01,1.000000000000000000e+00,6.349999999999997313e-02
9.200000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
9.300000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
9.400000000000000000e+01,1.000000000000000000e+00,6.924999999999989497e-02
9.500000000000000000e+01,1.000000000000000000e+00,6.999999999999992339e-02
9.600000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
9.700000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
9.800000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
9.900000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
1.000000000000000000e+02,1.000000000000000000e+00,7.249999999999996725e-02
1.010000000000000000e+02,1.000000000000000000e+00,7.575000000000002565e-02
1.020000000000000000e+02,1.000000000000000000e+00,7.724999999999990208e-02
1.030000000000000000e+02,1.000000000000000000e+00,7.974999999999994593e-02
1.040000000000000000e+02,1.000000000000000000e+00,8.049999999999997435e-02
1.050000000000000000e+02,1.000000000000000000e+00,8.049999999999997435e-02
1.060000000000000000e+02,1.000000000000000000e+00,8.049999999999997435e-02
1.070000000000000000e+02,1.000000000000000000e+00,8.125000000000000278e-02
1.080000000000000000e+02,1.000000000000000000e+00,8.624999999999989619e-02
1.090000000000000000e+02,1.000000000000000000e+00,8.624999999999989619e-02
1.100000000000000000e+02,1.000000000000000000e+00,8.774999999999995304e-02
1.110000000000000000e+02,1.000000000000000000e+00,8.849999999999998146e-02
1.120000000000000000e+02,1.000000000000000000e+00,8.849999999999998146e-02
1.130000000000000000e+02,1.000000000000000000e+00,8.849999999999998146e-02
1.140000000000000000e+02,1.000000000000000000e+00,9.175000000000003986e-02
1.150000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.160000000000000000e+02,1.000000000000000000e+00,9.574999999999996014e-02
1.170000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.180000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.190000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.200000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.210000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.220000000000000000e+02,1.000000000000000000e+00,9.900000000000001854e-02
1.230000000000000000e+02,1.000000000000000000e+00,1.015000000000000624e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.037499999999999672e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.095000000000000695e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.109999999999999459e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.152499999999999913e-01
